number,datum,title,description
1,2025-09-01,"Dart","Je leert de basis van de programmeertaal Dart. Denk aan variabelen, functies, control flow en classes."
2,2025-09-01,"Flutter project aanmaken","Je installeert Flutter, maakt een eerste project aan en leert hoe je de app draait op emulator of device."
3,2025-09-08,"Layouts en widgets (Material UI)"","Je leert over Flutter widgets zoals Text, Container, Row, Column en gebruikt Material UI componenten."
4,2025-09-08,"Stateful Widgets","Je leert het verschil tussen Stateless en Stateful widgets en maakt interactieve elementen.""
5,2025-09-15,"Navigatie en routes","Je leert navigeren tussen verschillende schermen met Navigator en routes.""
6,2025-09-15,"Extra oefenen","Je werkt aan eigen oefeningen met navigatie en state.""
7,2025-09-22,"Complexere Dart code","Je verdiept je in objectgeoriënteerd programmeren, data modelleren en gebruik van classes."
8,2025-09-22,"Lijsten en modellen","Je bouwt lijsten met ListView en toont objecten op het scherm.""
9,2025-09-29,"API's en Asynchroon","Je haalt externe data op met http en leert werken met async/await en Futures.""
10,2025-09-29,"Lokale bestanden","Je leest en schrijft eenvoudige data naar het lokale bestandssysteem.""
11,2025-10-06,"Extra oefenen - Pokémon app","Je werkt aan een Pokémon app waarbij je data toont, navigeert en UI bouwt."
12,2025-10-06,"Native features","Je onderzoekt device features zoals camera, GPS of sensoren zoals accelerometer."
